Topic,Subject,Question,Answer
"Agente inteligente","Definición de agente inteligente","What is the goal of the project?","The aim of this project is to develop intelligent agents for the production of high-quality, safe and efficient food."
"Agente inteligente","Definición de agente inteligente","What is the definition of an intelligent agent?","An intelligent agent is an entity capable of perceiving its environment, processing such perceptions and responding or acting in its environment rationally, i.e., tending to maximize an expected result."
"Agente inteligente","Definición de agente inteligente","What is the definition of an intelligent agent?","Intelligent agents are the future of technology."
"Algoritmo","Ejemplo de algoritmo de recomendación","What is one way to get people to like your content?","In the world of social media, recommendation algorithms are not the only way to get people to like your content."
"Algoritmo","Características de los algoritmos","What does Jeremy Hobson look at?","The BBC's science correspondent, Jeremy Hobson, looks at the role of algorithms in computing."
"Algoritmo","Clasificación de los algoritmos","What is the name of the paper that describes the classification of algorithms?","In this paper we describe the classification of algorithms."
"Algoritmo","Ejemplo de algoritmo","What is an algorithm?","An algorithm is a computer program that can do something, such as make a recipe, that a human would be able to do."
"Algoritmo","Clasificación de los algoritmos","What is one of the main functions of computer systems?","The following are some of the main functions of computer systems."
"Algoritmo","Definición de agente inteligente","What is the name of the algorithm?","The algorithm is a set of instructions that is used to solve problems."
"Algoritmo","Definición de agente inteligente","What is the term for an algorithm?","The term algorithm is a description of a set of rules that allows a problem to be solved, in a certain way, by means of systematic (not necessarily ordered) and finite operations."
"Algoritmo","Características de los algoritmos","What is a computer program that uses instructions or rules to solve problems?","An algorithm is a computer program that uses instructions or rules to solve problems."
"Algoritmo","Características de los algoritmos","What is the idea of an algorithm?","The idea of an algorithm is to create a set of rules that can be used to solve problems."
"Algoritmo","Características de los algoritmos","What does Jeremy Hobson look at?","The BBC's science correspondent, Jeremy Hobson, looks at the challenges faced by researchers trying to develop algorithms for predicting the behaviour of natural disasters."
"Algoritmo","Características de los algoritmos","What is the aim of this paper?","The aim of this paper is to show how to design algorithms for the problem of the distribution of the number of points of a series of triplets."
"Algoritmo","Input del algoritmo","What is the name of the algoritm?","A cooking class is a chance for students to learn how to prepare a meal."
"Algoritmo","Clasificación de los algoritmos","What is the classification of data by?","In this paper we will discuss the classification of data by the following criteria:"
"Algoritmo","Input del algoritmo","What is the name of the command that specifies the steps to be taken when a given command is executed?","The following example shows how to use the following commands to specify the steps to be taken when a given command is executed."
"Algoritmo","Historia del algoritmo","What is the name of the film that celebrates Euclid?","The ancient Greek mathematician Euclid is celebrated in the film The Big Bang Theory, which opens in the UK on Friday."
"Algoritmo","Partes del algoritmo","What is the name of the part of an algorithm?","An algorithm is a computer program that uses a set of instructions to solve a problem."
"Algoritmo","Ejemplo de algoritmo","What is the name of the algorithm used by Google?","Google has been accused of manipulating its search results to favour its own products and services over those of rivals such as Yahoo and Bing."
"Algoritmo","Ejemplo de algoritmo","What is the name of the algorithm that Facebook uses to find out what you're interested in?","Facebook has revealed that it is using Edgerank to find out what you're most likely to be interested in on the site."
