Topic,Subject,Question,Answer
"Actitud","excited","I really had a fun time at our county fair a couple of days ago.","I took the family to our county fair a couple of days ago."
"Actitud","prepared","We went through hurricane irma last year. We got everything we needed and put metal shutter on all the windows and decided to stay. "," i must have been terrifying_comma_ I am glad you both made it through it"
"Actitud","prepared","I have been training for months for the race.","I'm sure all the work will be worth it in the end!"
"Actitud","prepared","I am all packed for my vacation.  I don't believe I have forgotten anything for the trip but you never know.","I'm leaving for my vacation soon.  I have everything all packed and ready to go."
"Actitud","prepared","College is starting in 3 weeks_comma_ and I have my apartment all settled_comma_ my classes picked out_comma_ and my student loans scheduled. I feel like I'm on track to start the semester in a way where I'm not hurried or confused_comma_ and it feels good.","Hey... that's okay. I'm 28 and just now about to finish my 4-year degree. My brother finished his at 36. There's always a reason for the path you take. Maybe it led to better things. Don't ever just consider yourself a statistic. Good luck!"
"Actitud","prepared","I had been grinding at home trying to build my website when this girl I hadn't heard from since high school called. She said she was in town and wanted to catch up.  Deciding I needed a break from work I turned off my laptop_comma_ threw on some fresh khakis and air nikes and 2 condoms just in case.  Turned out it's always better safe than sorry.","They're known to cause erectile dysfunction? There's chemicals in the laces_comma_ dude! A conspiracy I tell you! Done by OBAMA!"
"Actitud","prepared","im ready for next week!","what's happening next week?"
"Actitud","prepared","I went into that interviewing knowing i could answer any question they threw at me","yea im sure i'll get the job"
"Actitud","prepared","Getting ready to file quarterly taxes and I have been very diligent with organization this year so I am prepared","How much stuff did you have to go through?"
"Actitud","prepared","I had a big presentation that I was very nervous about. Luckily_comma_ I made sure to practice and get everything together before time","I am so happy everything went well for you."
"Actitud","prepared","I think I got everything I need for my job interview tomorrow. I got my fancy clothes and answers prepared for common questions they usually throw at u.","I think I got everything I need for my job interview tomorrow. I got my fancy clothes and answers prepared for common questions they usually throw at u."
"Actitud","prepared","It was my first time taking the DMV test. I went there rather early and aced the test.","Yes it was even though I was a bit nervous."
"Actitud","prepared","When I went into labor with my son_comma_ it was quite the ordeal. He was coming way too early and we had to rush to get him out. Thankfully_comma_ I had everything already packed beforehand!","Is he healthy?"
"Actitud","prepared","I@ve done lots of research for an interview tis week","I have an interview this week"
"Actitud","prepared","I've got all my fishing gear packed up. I'm ready for tomorrow morning.","I've got all my fishing gear packed up. I'm ready for tomorrow morning."
"Actitud","prepared","I'm spent all summer getting ready to write my thesis. I can't wait to get time to start.","I spent all summer getting ready to write my thesis. I can't wait to get time to start."
"Actitud","prepared","ready to leave this hood ","That sounds like a plan."
"Actitud","prepared","I am having some financial issues. I am selling almost everything before the bailiff come.","I am having some financial issues. I am selling almost everything before the bailiff come."
"Actitud","prepared","I'm looking forward to presenting to my client_comma_ I spent a lot of time on that powerpoint","I'm looking forward to presenting to my client_comma_ I spent a lot of time on that powerpoint"
"Actitud","prepared","I knew I was going to pass my drivers test. I just knew I would do well","I knew I was going to pass my drivers test. I knew I would do well"
"Actitud","hopeful","My daughter starts public school for the first time in 3 years. I think she is going to do well","My daughter starts public school for the first time in 3 years! I think she is going to do great but she's a little bit nervous."
"Actitud","faithful","I was on a business trip last week spending some time at a local bar. There was a girl who was being flirty with me. I had to tell her that I was married and I couldn't play with her.","Last week on a business trip I spent some time at the bar. There was this girl who was really flirty with me. I had to tell her that I couldn't play with her because I was married."
"Actitud","prepared","Last week when I was coming back to my home_comma_ a man approached me. But_comma_ I had a gun. I felt I was ready.","I had a gun. I felt I was ready. If anything would have happened_comma_ I could have used it."
"Actitud","trusting","I am waiting on my friend to come over. They are bringing me a medicine for my pet.","I'm sorry. That must make you sad."
