source,target
What is the term for a collection of information that accompanies data?,Metadata is a collection of information that accompanies data.
In what language will we write a program?,"In this tutorial, we will be learning how to write a program in the Prolog language."
What is the name of the mathematician who is involved in graph theory?,Graph theory is a branch of mathematics that deals with the relationship between data and people.
What term is used to describe data that is ready to be used but not yet ready for use?,"The term 'smart data' is used to describe data that is ready to be used, but which is not yet ready for use."
What is the research group developing?,The research group in this project is developing an autoencoder for the decoding of audio signals.
What type of model can distinguish between real and synthetic examples?,The aim of this paper is to show how a type of artificial intelligence called arative model can discriminate between real and synthetic examples.
What is a computer program capable of performing repetitive tasks?,A bot is a computer program capable of performing repetitive tasks.
What can happen to AI models that are too good at identifying examples of different types of objects?,A new study suggests that artificial intelligence (AI) models that are too good at identifying examples of different types of objects can be overfitted.
What is a good idea for a computer?,"In this video, mathematician and computer scientist, Dr. John-Paul Sartre, explains why a Turing Complete system is a good idea."
What is a machine that can solve problems that are difficult to solve with a computer?,The Turing machine is a machine that can solve problems that are difficult to solve with a computer.
What are machines that are intelligent and can learn and improve?,Intelligent agents are machines that are intelligent and can learn and improve.
What is the name of the blockchain?,Hash trees are a new type of data structure that can be used to store data in Blockchain.
What test did DeepMind pass?,"The BBC reports that a computer called DeepMind has passed the Turing Test, but only after being tricked into thinking it was a human."
What is a mathematical function that transforms a set of data into an alphanumeric code of fixed length?,A Hash Function is a mathematical function that transforms a set of data into an alphanumeric code of fixed length.
What type of learning is described in this article?,This article describes the techniques used in Federated Learning.
What is the latest technology used in the construction industry?,The latest technology in augmented reality is being used in the construction industry.
What does Tomi Oladipo look at?,"The BBC's technology correspondent, Tomi Oladipo, looks at the future of the internet of things."
What will we learn to use in Java?,In this course we will be learning how to use a tree in the Java programming language.
What is the name of the tool used to train an artificial intelligence?,This paper describes how to train an artificial intelligence model on a dataset of values.
What is a very useful tool for searching for data?,Hash Table is a very useful tool for searching for data.
What is the name of the latest living robot created in the lab?,"Meet the Xenobots, the latest in a long line of living robots that have been created in the lab."
What does Sue Perkins explain?,"The BBC's artificial intelligence expert, Sue Perkins, explains how machine learning works."
What is the term for the failure to identify a pattern in a model?,"In this article, I will be talking about a very common problem in computer science - the failure to identify a pattern in a model."
What could virtual reality be used to explore?,"Virtual reality could soon be used to explore metaverses, according to a new study."
What does the acronym GPU stand for?,The GPU (Graphics Processing Unit) is a piece of computer equipment that is used to process data.
What type of learning can be used in robotics?,A new report by the US National Research Council (NRC) has described how reinforcement learning can be used in robotics.
